epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.2722988426685333,4.295280933380127,1e-04,0.2120535671710968,8.156259536743164
1,0.32777097821235657,3.4966437816619873,1e-04,0.3924386203289032,3.1214680671691895
2,0.35842207074165344,2.988529682159424,1e-04,0.4292689859867096,2.636321783065796
3,0.3879210948944092,2.5690972805023193,1e-04,0.4384765625,2.305532217025757
4,0.41113632917404175,2.257509469985962,1e-04,0.4640066921710968,2.0123496055603027
5,0.4351195693016052,2.017423391342163,1e-04,0.4775390625,1.8316181898117065
6,0.45763659477233887,1.8336867094039917,1e-04,0.4905133843421936,1.6982203722000122
7,0.4781637191772461,1.692199945449829,1e-04,0.5265067219734192,1.5143146514892578
8,0.4925466775894165,1.5827648639678955,1e-04,0.5223214030265808,1.484405755996704
9,0.5108745098114014,1.4867808818817139,1e-04,0.5544084906578064,1.3601844310760498
10,0.5226741433143616,1.4197458028793335,1e-04,0.5671038031578064,1.3019828796386719
11,0.543759822845459,1.3540065288543701,1e-04,0.5675223469734192,1.2859870195388794
12,0.5565718412399292,1.3066703081130981,1e-04,0.5756138563156128,1.232606053352356
13,0.5719671845436096,1.2599178552627563,1e-04,0.5777064561843872,1.2170772552490234
14,0.5807994604110718,1.2256407737731934,1e-04,0.5912388563156128,1.185275673866272
15,0.5906789898872375,1.1913706064224243,1e-04,0.5930524468421936,1.1723692417144775
16,0.5980799198150635,1.1651877164840698,1e-04,0.5929129719734192,1.2134140729904175
17,0.6132309436798096,1.1310210227966309,1e-04,0.6039341688156128,1.15530264377594
18,0.6184674501419067,1.1100072860717773,1e-04,0.6022600531578064,1.1660621166229248
19,0.629638671875,1.083918809890747,1e-04,0.6184430718421936,1.1164131164550781
20,0.6388898491859436,1.055483341217041,1e-04,0.6226283311843872,1.113154649734497
21,0.6467795372009277,1.040908932685852,1e-04,0.6160714030265808,1.1227540969848633
22,0.658963143825531,1.0114665031433105,1e-04,0.6245814561843872,1.1047452688217163
23,0.6640600562095642,0.9903708100318909,1e-04,0.6258370280265808,1.0982688665390015
24,0.6732763051986694,0.9725505113601685,1e-04,0.6224888563156128,1.138344645500183
25,0.682213306427002,0.9491786360740662,1e-04,0.6259765625,1.1200755834579468
26,0.6903473734855652,0.9274446368217468,1e-04,0.6382533311843872,1.078912615776062
27,0.690871000289917,0.9158793091773987,1e-04,0.6326729655265808,1.1021225452423096
28,0.7045906782150269,0.8912511467933655,1e-04,0.6374163031578064,1.0838316679000854
29,0.7115727066993713,0.8741474151611328,1e-04,0.6346260905265808,1.1168644428253174
30,0.715133547782898,0.8597899079322815,1e-04,0.6365792155265808,1.1394565105438232
31,0.7239657640457153,0.8450338244438171,1e-04,0.6427176594734192,1.0840480327606201
32,0.7285041213035583,0.8293362259864807,1e-04,0.6376953125,1.0985864400863647
33,0.7375109195709229,0.8104235529899597,1e-04,0.6456473469734192,1.114096999168396
34,0.7389073371887207,0.7938151359558105,1e-04,0.6471819281578064,1.1338247060775757
35,0.744388222694397,0.7833887338638306,1e-04,0.6435546875,1.1298476457595825
36,0.7525222301483154,0.766514003276825,1e-04,0.6510881781578064,1.1551803350448608
37,0.7561529278755188,0.7514914274215698,1e-04,0.646484375,1.1755057573318481
38,0.7634491324424744,0.7381600141525269,1e-04,0.6538783311843872,1.1495829820632935
39,0.7682667374610901,0.7243923544883728,1e-04,0.6354631781578064,1.2207289934158325
40,0.7726653814315796,0.7150125503540039,1e-04,0.6402064561843872,1.1643898487091064
41,0.7722813487052917,0.7101107239723206,1e-04,0.6505301594734192,1.1472047567367554
42,0.7778670191764832,0.6966536045074463,1e-04,0.6487165093421936,1.1478904485702515
43,0.7856519222259521,0.6792967319488525,1e-04,0.6502510905265808,1.1999164819717407
44,0.7901204228401184,0.6651436686515808,1e-04,0.6586216688156128,1.1798951625823975
45,0.7925641536712646,0.6647630929946899,1e-04,0.6558314561843872,1.1499351263046265
46,0.7944144010543823,0.6539584398269653,1e-04,0.6411830186843872,1.2289197444915771
47,0.7979053854942322,0.6436262726783752,1e-04,0.6495535969734192,1.2175111770629883
48,0.8018502593040466,0.631268322467804,1e-04,0.6411830186843872,1.2151275873184204
49,0.8018502593040466,0.6285942196846008,1e-04,0.6509486436843872,1.2280328273773193
50,0.8092511892318726,0.611539900302887,1e-04,0.654296875,1.2031317949295044
51,0.8285215497016907,0.5654179453849792,2e-05,0.6575055718421936,1.1968715190887451
52,0.8381916284561157,0.5364107489585876,2e-05,0.6595982313156128,1.21491277217865
53,0.8422062993049622,0.5226567983627319,2e-05,0.6628069281578064,1.2105242013931274
54,0.8430790901184082,0.5207251310348511,2e-05,0.6655970811843872,1.2285953760147095
55,0.847198486328125,0.5121117234230042,2e-05,0.6639229655265808,1.2028379440307617
56,0.8462908267974854,0.5070704221725464,2e-05,0.6619698405265808,1.2048932313919067
57,0.850235641002655,0.4954836964607239,2e-05,0.6647600531578064,1.2173336744308472
58,0.8511083722114563,0.4915758967399597,2e-05,0.669921875,1.2098162174224854
59,0.8562401533126831,0.4850432276725769,2e-05,0.6598772406578064,1.237581491470337
60,0.8564496636390686,0.47796493768692017,2e-05,0.6661551594734192,1.234370470046997
61,0.8593471646308899,0.47508618235588074,2e-05,0.6678292155265808,1.2212680578231812
62,0.859521746635437,0.46644964814186096,2e-05,0.6664341688156128,1.2248739004135132
63,0.8613370656967163,0.46974772214889526,2e-05,0.6695033311843872,1.2529276609420776
64,0.8625938296318054,0.46179336309432983,2e-05,0.6675502061843872,1.2386711835861206
65,0.8661895394325256,0.454720675945282,4e-06,0.6676897406578064,1.2462612390518188
66,0.8700296878814697,0.44217759370803833,4e-06,0.6681082844734192,1.2517081499099731
67,0.8675859570503235,0.44680851697921753,4e-06,0.6692243218421936,1.2432721853256226
68,0.8663641214370728,0.446078896522522,4e-06,0.6674107313156128,1.248517632484436
69,0.872543215751648,0.4354040324687958,4e-06,0.6686663031578064,1.247211217880249
70,0.8694711327552795,0.43792659044265747,4e-06,0.66796875,1.246278166770935
